TON_COMBINAISON,POSITION_SYL,F0_10%,F0_20%,F0_30%,F0_40%,F0_50%,F0_60%,F0_70%,F0_80%,F0_90%,F0_100%
T4+T1,S1,0.275971132,0.305521942,0.337036393,0.353464693,0.3469269,0.331672442,0.314714947,0.30059715,0.286970352,0.247123476
T4+T1,S2,0.204874311,0.210269419,0.203973339,0.194542772,0.200457814,0.213692198,0.23707327,0.274778553,0.337463216,0.376670111
T4+T2,S1,0.290474785,0.30750209,0.335716102,0.354024299,0.351256572,0.332358363,0.305467966,0.280791692,0.254924812,0.219265052
T4+T2,S2,0.147772677,0.172432852,0.177915726,0.178832692,0.185493733,0.200175023,0.218075651,0.242845984,0.274028874,0.279333507
T4+T3,S1,0.275597512,0.276446361,0.269003488,0.250569721,0.234540048,0.224984418,0.211824466,0.197645732,0.174368384,0.127383576
T4+T3,S2,-0.005132515,-0.047813922,-0.04629697,-0.015269396,0.031549894,0.072345901,0.109546236,0.162875624,0.23434631,0.277872385
T4+T4,S1,0.203140828,0.249795631,0.304636961,0.35071284,0.372140925,0.371127754,0.354027726,0.325447287,0.292898271,0.239411622
T4+T4,S2,0.111288557,0.082056883,0.060190247,0.026154647,0.002642698,-0.003973165,0.000145739,0.002235421,-0.050604959,-0.210955869
T4+T5,S1,0.100406918,0.158977087,0.243092362,0.316110464,0.378731345,0.414670389,0.439688021,0.441399736,0.429744426,0.395400106
T4+T5,S2,0.273992915,0.228280698,0.228851985,0.246420249,0.270512471,0.28854592,0.2903334,0.282858892,0.281214958,0.303758707
T5+T1,S1,-0.117070198,-0.140538948,-0.174201138,-0.206047406,-0.237653589,-0.268412396,-0.303123487,-0.353926939,-0.421433674,-0.4427519
T5+T1,S2,-0.352835702,-0.324797461,-0.312824113,-0.304142649,-0.275914858,-0.226366179,-0.162594024,-0.087256082,-0.023648591,0.036312682
T5+T2,S1,-0.103369727,-0.179924969,-0.216349875,-0.241204025,-0.268307144,-0.294288911,-0.309275179,-0.333488341,-0.372810557,-0.424546219
T5+T2,S2,-0.440390939,-0.390766161,-0.370458301,-0.351434011,-0.299836855,-0.216800134,-0.125177831,-0.045535774,0.036743163,0.118336213
T5+T3,S1,0.095083321,0.035140104,-0.032177552,-0.112574271,-0.196370815,-0.270279919,-0.342991426,-0.415826754,-0.487750576,-0.577912831
T5+T3,S2,-0.754155431,-0.794702881,-0.793318737,-0.751485988,-0.677032811,-0.58393207,-0.475886166,-0.349374219,-0.218519918,-0.099430657
T5+T4,S1,-0.684042047,-0.859789314,-0.97008714,-1.032254528,-1.059101237,-1.050089588,-1.013746345,-0.965255436,-0.910300174,-0.868448912
T5+T4,S2,-0.780705637,-0.674481534,-0.671795978,-0.689501035,-0.660744527,-0.587866395,-0.490146434,-0.375552776,-0.248454709,-0.145604563
T5+T5,S1,-0.246094816,-0.245848654,-0.240177983,-0.245051175,-0.26635478,-0.284887339,-0.307944638,-0.339687852,-0.385908679,-0.464898055
T5+T5,S2,-0.666459504,-0.751703581,-0.735525407,-0.664041048,-0.610610004,-0.582999588,-0.56055036,-0.510318832,-0.403368276,-0.184512501
